"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-16","0.00",",,E",,,"61","H,,S","70",",,E","54",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-17","0.00",",,E",,,"61","H,,S","71",",,E","55",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-18","0.00",",,E",,,"62","H,,S","71",",,E","55",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-19","0.24",",,E",,,"59","H,,S","73",",,E","47",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-20","0.06",",,E",,,"60","H,,S","70",",,E","55",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-21","0.00",",,E",,,"61","H,,S","71",",,E","54",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-22","0.01",",,E",,,"68","H,,S","81",",,E","60",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-23","0.04",",,E",,,"69","H,,S","82",",,E","62",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-24","0.00",",,E",,,"62","H,,S","72",",,E","55",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-25","0.00",",,E",,,"63","H,,S","75",",,E","51",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-26","0.00",",,E",,,"65","H,,S","79",",,E","52",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-27","0.27",",,E",,,"64","H,,S","71",",,E","63",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-28","0.34",",,E",,,"56","H,,S","63",",,E","50",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-29","0.06",",,E",,,"57","H,,S","68",",,E","48",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-30","0.08",",,E",,,"59","H,,S","69",",,E","53",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-07-31","0.00",",,E",,,"59","H,,S","69",",,E","50",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-08-01","0.13",",,E",,,"61","H,,S","69",",,E","53",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-08-02","0.04",",,E",,,"68","H,,S","79",",,E","60",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-08-03","0.00",",,E",,,"67","H,,S","77",",,E","64",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-08-04","0.00",",,E",,,"63","H,,S","72",",,E","60",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-08-05","0.00",",,E",,,"65","H,,S","77",",,E","56",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-08-06","0.03",",,E",,,"63","H,,S","73",",,E","57",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-08-07","0.00",",,E",,,"59","H,,S","67",",,E","55",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-08-08","0.00",",,E",,,"58","H,,S","69",",,E","51",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-08-09","0.00",",,E",,,"56","H,,S","68",",,E","43",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-08-10","0.01",",,E",,,"56","H,,S","68",",,E","46",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-08-11","0.06",",,E",,,"56","H,,S","67",",,E","43",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-08-12","0.01",",,E",,,"63","H,,S","69",",,E","61",",,E"
"EI000003969","DUBLIN PHOENIX PARK, EI","53.3639","-6.3192","49.0","2018-08-13","0.00",",,E",,,"61","H,,S","69",",,E","56",",,E"
